,sample_name,422.4,486.3,670,818.1,940.5,970.3,996.2,1005.4,1412.8,1461.8,1900.9,1932.2,2057.2,2151.3,2156.5,2222.1,2269,2324.3,2329.1,Porosity (%)
26,CR_09,0.7742,0.8512,0.9991,0.9994,0.9562,0.956,0.9555,0.9519,0.9278,0.9498,0.8033,0.7804,0.9519,0.9995,1.0,0.9339,0.9364,0.8984,0.9036,24.31
27,CR_09,0.8184,0.8929,0.9998,0.9997,0.9588,0.9582,0.9595,0.9554,0.9326,0.9522,0.8083,0.7854,0.9536,0.9986,1.0,0.9336,0.9319,0.8936,0.8968,24.31
28,CR_10,0.5268,0.6475,0.9979,0.9988,0.9541,0.9555,0.9586,0.9542,0.898,0.9298,0.7522,0.7371,0.9408,0.9983,0.999,0.9359,0.9594,0.8836,0.877,17.53
29,CR_10,0.5151,0.6234,0.9963,0.9987,0.9537,0.9552,0.9601,0.9575,0.9032,0.9358,0.7721,0.7617,0.9504,0.9977,0.9977,0.9378,0.963,0.9075,0.9013,17.53
30,CR_10,0.6067,0.7217,1.0,0.9972,0.9425,0.9428,0.9496,0.9478,0.9216,0.9485,0.7911,0.8003,0.9633,0.9997,0.9998,0.9362,0.949,0.8999,0.8984,17.53
31,CR_11,0.7058,0.8107,0.9998,0.9991,0.9559,0.9556,0.9579,0.9581,0.9264,0.9476,0.8042,0.8072,0.9631,0.9974,1.0,0.9323,0.9363,0.9037,0.9057,39.8
32,CR_11,0.7691,0.8709,0.9999,0.9989,0.9572,0.9564,0.9576,0.9576,0.9224,0.9352,0.8388,0.8421,0.9674,0.9972,0.999,0.9401,0.9422,0.9185,0.9195,39.8
33,CR_11,0.7243,0.8287,0.9998,0.9998,0.9594,0.9596,0.9599,0.959,0.9357,0.9565,0.8163,0.8083,0.9655,0.9978,1.0,0.9308,0.9369,0.9043,0.9062,39.8
34,CR_12,0.7312,0.8388,0.9996,0.9991,0.9547,0.9534,0.9587,0.9601,0.9196,0.9399,0.7915,0.7984,0.9631,0.9992,1.0,0.9335,0.9429,0.9069,0.9092,28.89
35,CR_12,0.7174,0.8272,0.9997,0.9996,0.9563,0.9558,0.9625,0.9635,0.9256,0.9451,0.7922,0.8005,0.9646,0.9991,1.0,0.9316,0.9393,0.8993,0.9014,28.89
36,CR_12,0.7066,0.8244,0.9998,0.9998,0.9563,0.9557,0.9624,0.963,0.9209,0.9405,0.7902,0.7987,0.9646,0.9997,1.0,0.934,0.9426,0.9065,0.9084,28.89
