,Porosity (%)
2014.4,-0.7531103163239496
2017.1,-0.7597691777625498
2019.8,-0.7652255435730023
2022.5,-0.770393465962693
2025.2,-0.7755243155429201
2027.8,-0.7803894930346065
2030.5,-0.7835111140029463
2033.2,-0.7854064946985606
2035.9,-0.7869287512354697
2038.6,-0.78804942737969
2041.2,-0.7883980716810514
2043.9,-0.7901403282543764
2046.6,-0.7919700110342629
2049.3,-0.7928935226365809
2051.9,-0.792708877323485
2054.6,-0.7929866165535272
2057.2,-0.7938470917079862
2059.9,-0.794479224615879
2062.6,-0.7944851983015303
2065.2,-0.7916189822960606
2067.9,-0.7905168699026653
2070.5,-0.7897319195859667
2073.2,-0.7856212616162699
2075.8,-0.7828377590511496
2078.4,-0.7835319059407335
2081.1,-0.78208430931638
2083.7,-0.7780809802852563
2086.4,-0.7753567315482539
2089,-0.7754035941829429
2091.6,-0.7762210190465328
2094.2,-0.7726955468577447
2096.9,-0.7668746717135742
2099.5,-0.7625287019208841
2102.1,-0.7576131947975854
2104.7,-0.7514634535722163
Porosity (%),1.0
