,Porosity (%)
2244.4,0.7123187666537153
2246.9,0.7307014684115284
2249.4,0.7469515747923211
2251.8,0.7572556122560331
2254.3,0.7624108401245236
2256.7,0.7664239039878273
2259.2,0.7695608964610396
2261.6,0.7698910144078411
2264.1,0.7712447401936102
2266.5,0.7738580755183674
2269,0.7770048936173156
2271.4,0.7774149469898778
2273.8,0.7775065799134411
2276.3,0.7776164265398428
2278.7,0.7756213112771159
2281.1,0.7732774279451545
2283.5,0.7712285613103464
2286,0.769386572076227
2288.4,0.7678651251222747
2290.8,0.7664496761073356
2293.2,0.7661733053684595
2295.6,0.7669820297121904
2298,0.7667139449556759
2300.4,0.7653034346097911
2302.8,0.763856079912463
2305.2,0.7624285999459752
2307.6,0.7614643604145261
2310,0.7616151334054948
2312.4,0.7596185615291553
2314.8,0.7587677517471819
2317.2,0.7596598867375359
2319.6,0.7585111391627833
2321.9,0.756885459234273
2324.3,0.7558185983736586
2326.7,0.7544550916121266
2329.1,0.7522451789760501
2331.4,0.7499349266791893
2333.8,0.7464050301752536
2336.2,0.741741696652097
2338.5,0.7375005022152776
2340.9,0.7328691383444333
2343.2,0.7273888846037004
2345.6,0.7208554664531951
2347.9,0.7134941835041223
Porosity (%),1.0
