,Porosity (%)
840,0.7744093679049081
841.2,0.7751082818179106
842.4,0.7748838386702157
843.6,0.7753925555956134
844.8,0.7757512755127277
846,0.7750404723660403
847.1,0.7753329183754378
848.4,0.7753434992643957
849.5,0.7742147978204691
850.7,0.7747183920753232
851.9,0.7748328371228624
853.1,0.7745908723555708
854.3,0.7724722639821987
855.5,0.7725232049705782
856.6,0.772643882764113
857.8,0.772265981200202
859,0.7718596111806378
860.2,0.7724189818190442
861.4,0.7715893497143321
862.5,0.7717186158502982
863.7,0.7716201667198213
864.9,0.7709533272120976
866,0.7693214454435475
867.2,0.7692760853815146
868.4,0.768380035618205
869.5,0.7679023386286248
870.7,0.7671026931863794
871.9,0.7662823486031258
873,0.7666295515887958
874.2,0.7660814575354784
875.3,0.7660206332444192
876.5,0.7652097201188574
877.6,0.7655141123257819
878.8,0.764189571661589
879.9,0.7647903696757818
881.1,0.7636463080887405
882.2,0.7638003469349476
883.4,0.7636212243742672
884.5,0.7631581725632086
885.6,0.7620987303181452
886.8,0.7610002664412631
887.9,0.7611344575807479
889.1,0.7610884677712535
890.2,0.760648360015687
891.3,0.7606189817120699
892.5,0.7600118557583939
893.6,0.7597252380189161
894.7,0.7595410720821899
895.8,0.7601428805045822
897,0.7596409670153014
Porosity (%),1.0
