,Porosity (%)
1099.3,-0.552842319010421
1103.2,-0.5521049687964191
1107.2,-0.5528443593399766
1111.1,-0.5555940840727681
1115,-0.5560008510774728
1119,-0.5556122014111107
1122.9,-0.5539924564405615
1126.9,-0.5541099631406999
1130.8,-0.5564874266328075
1134.7,-0.5541004964799374
1138.7,-0.5512703087006785
1142.6,-0.5504482190351652
1146.5,-0.5482084040211879
1150.4,-0.5467926513769328
1154.3,-0.5492730248129492
1158.3,-0.5513507740593132
1162.2,-0.5488345659861577
1166.1,-0.5420530293547645
1170,-0.5382006737958837
1173.9,-0.5376929403667795
1177.8,-0.5366770918555577
1181.8,-0.5318641214906538
1185.7,-0.5305645169342004
1189.6,-0.5312019301085875
1193.5,-0.5228042573136806
1197.4,-0.5116080629101731
1201.3,-0.5024952741814614
1205.2,-0.5031782271112376
1209.1,-0.5113833258526211
1213,-0.5048775353389181
1216.8,-0.496375672576453
1220.8,-0.4877493540010127
1224.6,-0.4799331420856555
1228.5,-0.4761270437308866
1232.4,-0.467499147305856
1236.3,-0.4631391127869372
1240.2,-0.4538539897609685
Porosity (%),1.0
