,Porosity (%)
2130.7,0.4699588159427203
2133.3,0.47052724567864207
2135.9,0.4720219940687583
2138.5,0.47132839150864
2141,0.46920320069157867
2143.6,0.46834151951341463
2146.2,0.4690762362511859
2148.8,0.4686155831482326
2151.3,0.46802962059607267
2153.9,0.46862933045976163
2156.5,0.4687747089725621
2159,0.4678841300006766
2161.6,0.4672361815201206
2164.1,0.4674713651775546
2166.7,0.46695085867896746
2169.2,0.4660491921122772
2171.8,0.46486414541675153
2174.3,0.46423524928043125
2176.9,0.4641088909721815
2179.4,0.46342167431141346
2181.9,0.4624665866889026
2184.5,0.46199388463884666
2187,0.461999792152056
2189.5,0.4633918194393362
2192,0.46518771987727536
2194.6,0.46294293256157476
2197.1,0.4595306157625275
2199.6,0.45751090885645934
2202.1,0.4552297671977892
2204.6,0.45315596481319825
2207.1,0.45239290886584566
2209.6,0.45146953262844997
2212.1,0.45133924138971937
2214.6,0.45171187172792293
2217.1,0.45183006070377346
2219.6,0.45094124460473684
2222.1,0.45070597147415314
2224.6,0.45086717675679694
2227.1,0.45001272339382115
2232.1,0.45001912954208034
2234.6,0.45027691029110856
Porosity (%),1.0
