,Porosity (%)
422.4,-0.5562148068338694
423.9,-0.55096018876164
425.4,-0.5461372086419954
427,-0.5420975077289644
428.5,-0.5357749031171402
430,-0.5309483372277072
431.6,-0.524910965873828
433.1,-0.5195652208002018
434.6,-0.5138859243374855
436.2,-0.5074761202640687
437.7,-0.5027507853193034
439.2,-0.49674982122465045
440.8,-0.4943342962557222
442.3,-0.4884050255127544
443.8,-0.4856812540762691
445.4,-0.4799000059134294
446.9,-0.4754489904402389
448.4,-0.46968784973658134
449.9,-0.4643227175004794
451.4,-0.45628463622455356
Porosity (%),1.0
