,Porosity (%)
2130.7,-0.5199958620664087
2143.6,0.575547029356985
2146.2,0.6836122319304081
2148.8,0.7334348536786628
2151.3,0.7586070613475953
2153.9,0.7749985075064605
2156.5,0.7769621648746705
2159,0.772413044556898
2161.6,0.7698564077195075
2164.1,0.7704213800299942
2166.7,0.7667681748758206
2169.2,0.7580166323665912
2171.8,0.7454612659712466
2174.3,0.7311471678037603
2176.9,0.7267658246157338
2179.4,0.7247409900655316
2181.9,0.7103071900835548
2184.5,0.6831404851726193
2187,0.6410337456363135
2189.5,0.626816646721308
2192,0.6199887863728913
2194.6,0.5923017392503471
2197.1,0.5732265645027025
2199.6,0.5651347571017884
2202.1,0.5722301762565772
2204.6,0.5873839800841069
2207.1,0.5946953597587205
2209.6,0.5957722367732076
2212.1,0.5983051850684101
2214.6,0.5988669708550184
2217.1,0.6015999384692282
2219.6,0.6153952871492285
2222.1,0.6327800200980555
2224.6,0.6547823975072266
2227.1,0.6791312806512865
2229.6,0.7022788488087517
2232.1,0.7307408986179376
2234.6,0.7669361127421866
2237,0.8034348061321013
2239.5,0.8382252553545465
Porosity (%),1.0
