,Porosity (%)
1446.8,-0.6161759804073546
1450.6,-0.6180678830934333
1454.3,-0.6197544530790263
1458.1,-0.6208377616544798
1461.8,-0.6195930758582415
1465.6,-0.6189425263361655
1469.4,-0.6162327405697628
1473.1,-0.6119930584204335
1476.9,-0.6078524404990568
1480.6,-0.6025590795312681
1484.4,-0.598186721695289
1488.1,-0.5924877538719503
1491.8,-0.5850725990903434
1495.6,-0.5761415834327356
1499.3,-0.5673590381010667
1503,-0.5619521803551601
1506.8,-0.5565247878294682
1510.5,-0.547764607255821
1514.2,-0.5382648218846493
1518,-0.5266567822203299
1521.7,-0.5113064003020771
1525.4,-0.4952776640138193
1529.1,-0.47848949263656604
1532.8,-0.4620954196777766
Porosity (%),1.0
