,Porosity (%)
803.2,0.68126947989117
804.4,0.6904155039824492
805.7,0.696538230554927
806.9,0.7031469767106624
808.2,0.709428638667042
809.4,0.715317530052786
810.6,0.7211264005353206
811.9,0.7259315551696103
813.1,0.7313998033750901
814.4,0.7361893311080278
815.6,0.7401170269891117
816.8,0.7439631183319988
818.1,0.7484141548946984
819.3,0.7512954794513977
820.5,0.7540924284609563
821.8,0.7568018378200982
823,0.7601814318190414
824.2,0.7617788549727079
825.4,0.7638762817867266
826.6,0.7654228945378255
827.9,0.7673119616532305
829.1,0.7694443987004574
830.3,0.7687377837828892
831.5,0.7707135548959823
832.7,0.7719504657457174
833.9,0.7730387578460317
835.1,0.7731318222317012
836.4,0.7730203129794205
837.6,0.7738355874585953
838.8,0.7749110659805071
840,0.7744093679049081
841.2,0.7751082818179106
842.4,0.7748838386702157
843.6,0.7753925555956134
844.8,0.7757512755127277
846,0.7750404723660403
847.1,0.7753329183754378
848.4,0.7753434992643957
849.5,0.7742147978204691
850.7,0.7747183920753232
851.9,0.7748328371228624
853.1,0.7745908723555708
854.3,0.7724722639821987
855.5,0.7725232049705782
Porosity (%),1.0
