422.4;486.3;670;853.1;940.5;970.3;996.2;1005.4;1412.8;1461.8;1842.3;1900.9;1932.2;2057.2;2151.3;2166.7;2222.1;2324.3;2352.6;Y;Linear;Ridge;Lasso;ElasticNet;kNN;SVR;RF;MLP
0.794516;0.831342;0.993638;0.900948;0.850126;0.85057;0.856552;0.85385;0.924788;0.989548;0.9373;0.929568;0.930672;0.998858;0.97117;0.971214;0.856796;0.640782;0.712678;1.7249999999999999;6.023194945788105;4.151464285617768;3.7675433094661392;3.7675433094661392;0.7250000000000001;1.5712095259558712;1.17208;2.6507399562461593
0.550622;0.627236;0.92069;0.999204;0.99771;0.9935;0.992022;0.989032;0.703392;0.668458;0.944192;0.482982;0.401384;0.759122;0.9814;0.997126;0.962924;0.794002;0.952876;12.88;18.187863895145256;17.90029057321365;14.102712336521018;14.102712336521018;19.555000000000003;17.01007482613813;9.333100000000004;20.90241321614122
0.614788;0.721642;0.988618;0.988426;0.959282;0.958316;0.95486;0.95077;0.865196;0.868062;0.986156;0.67549;0.59108;0.88986;0.99912;0.99955;0.948102;0.907396;0.980784;20.39;14.562880430343812;16.500994686203267;19.575780460921173;19.575780460921173;20.509999999999998;19.938843562752748;19.080599999999993;15.778815322263785
0.991604;0.997746;0.99914;0.925294;0.883286;0.878084;0.881872;0.88044;0.910528;0.94552;0.933704;0.94693;0.95303;0.997058;0.973152;0.972134;0.898106;0.59357;0.651692;0.695;-2.2651345343759597;1.7218949448320533;1.3835226957828406;1.3835226957828406;1.4915;0.6664836285184781;1.68966;0.47290541395375063
0.999762;0.992364;0.941092;0.8681;0.830006;0.825006;0.828604;0.829192;0.868432;0.905238;0.914578;0.92765;0.94358;0.99577;0.97592;0.975956;0.90438;0.644756;0.702968;2.11;4.822564693023599;2.7814072628447537;3.045768352367155;3.045768352367155;1.5590000000000002;1.4601540616405395;1.9836399999999998;1.5609251715372214
0.681266;0.750556;0.959658;0.999134;0.999098;0.998182;0.994084;0.988878;0.808504;0.774316;0.979852;0.56108;0.468358;0.805914;0.988816;0.999578;0.978622;0.827956;0.983112;18.010000000000005;9.99017638243472;15.693185223528307;13.437653107769437;13.437653107769437;21.509999999999998;12.936378970020746;13.961599999999988;16.951502467965366
0.855982;0.809228;0.982642;0.921554;0.867668;0.868244;0.875742;0.874472;0.91049;0.959616;0.922756;0.821202;0.848604;0.996526;0.94103;0.951338;0.908652;0.494594;0.558198;1.019;8.156544475081486;0.008619756473427075;-0.324269239143259;-0.324269239143259;1.23;-0.18640337825579228;1.3910400000000003;1.0731296974962927
0.998748;0.998648;0.995738;0.931096;0.894908;0.892822;0.895896;0.894338;0.931366;0.965298;0.940736;0.911474;0.91414;0.996794;0.952204;0.950832;0.920928;0.536332;0.586042;1.24;0.3598495093300478;0.3071140168578809;0.5190866036979381;0.5190866036979381;1.2835;0.9899272751033594;1.3168;0.16528062076017377
0.741338;0.78759;0.973874;0.993582;0.971876;0.96832;0.966752;0.962118;0.887222;0.885228;0.968432;0.716398;0.666146;0.912926;0.997592;0.998344;0.938936;0.769088;0.942454;5.88;6.670110737818305;12.63595230009964;9.421589114928427;9.421589114928427;8.75;9.37225757320018;13.698039999999992;12.82968279565079
0.727696;0.688672;0.963348;0.86831;0.79954;0.799354;0.806612;0.801252;0.853886;0.970658;0.935624;0.89603;0.880454;0.998518;0.959064;0.967856;0.743598;0.526936;0.592892;1.155;-3.5389074825970446;-0.23600253418568842;-0.8018908681089615;-0.8018908681089615;1.078;1.0926317882303764;1.8258799999999995;0.40826447045459596
