modelName;R2;MSE;MAE
Linear Reg;0.6533507965830199;20.53937711160965;3.738065683438106
Ridge Reg;0.8489757614926098;8.94836554395793;2.4240954634448015
Lasso Reg;0.9260360890554277;4.3824495904370755;1.6746668180901338
ElasticNet;0.9260360890554277;4.3824495904370755;1.6746668180901338
KNN;0.9402131456519782;3.5424421451612895;1.1402903225806449
SVR;0.9534669842510842;2.7571364629901693;1.1052146393109172
RF;0.9094532294551142;5.3650037217096935;1.5130206451612913
MLP;0.8500517703846346;8.884610738838244;2.016537679417207
