;Linear;Lasso;Ridge;ElasticNet;KNN;RF;SVR;MLP
41;-0.052548343123499895;-0.021919498475097166;-0.0052832962850232765;-0.021919498475097166;-0.009211247968070975;-0.005649996862081252;-0.019155909355619036;-0.0005762414131804829
42;-0.0935617316536249;-0.02121644684718021;-0.03428561516015451;-0.02121644684718021;-0.0027738791630886384;-0.0066152448592083244;-0.0029992881759950464;-0.02774808006812497
43;-0.11520836672424818;-0.0020385442373161;-0.025853079967639265;-0.0020385442373161;-0.032733808925662654;-0.00797175081609485;-0.021463604806620528;-0.050881823956291185
44;-0.02551112267631805;-0.016774449153753663;-0.03877910084824817;-0.016774449153753663;-0.0016437863429371504;-0.032674438054104936;-0.009050465803179501;-0.05383917866823493
45;-0.022347189151856888;-0.0006182935434238447;-0.0015074191057975464;-0.0006182935434238447;-0.0005008711838097826;-0.0006068562616178509;-0.0004084689008275084;-0.0019218623365173755
46;-0.03578350348789299;-0.002305320837646417;-0.01149686006229369;-0.002305320837646417;-4.2125618044788213e-05;-0.0003739253774143862;-0.0015810654942132142;-0.010084097490137368
47;-0.03841286743232947;-0.005396878760129678;-0.01410907646467899;-0.005396878760129678;-0.0013129761213083102;-0.0015562125123611107;-0.002446358034938032;-0.023556071641878788
48;-0.009803588950183647;-0.025846234326795652;-0.06751740437646556;-0.025846234326795652;-0.005797194284259837;-0.10415888739092193;-0.016178494396162934;-0.052309908929594834
49;-0.07616113611309987;-0.010629906660755223;-0.02948645281925075;-0.010629906660755223;-0.008807045335277952;-0.022464729143829017;-0.0027629718314367163;-0.039411374923774965
50;-0.02325957224395998;-0.0015454254093684307;-0.018761632855392518;-0.0015454254093684307;-0.02518316299510663;-0.01901361480033867;-0.0095649693933776;-0.02928229743549849
51;-0.04532837839851753;-0.018331170652423737;-0.03084383027036865;-0.018331170652423737;-0.0013628215820631277;-0.038633696878592354;-0.01121337861963067;-0.03922013627538887
52;-0.057773225290344975;-0.02482158720180627;-0.010366963705123782;-0.02482158720180627;-0.00975883828169199;-0.009702848340698463;-0.01933913362567351;-0.0015423691239247457
53;-0.026560057802099912;-0.0024627514809419803;-0.032477608272875436;-0.0024627514809419803;-0.006362138292374874;-0.01352609498922632;-0.002980878810996061;-0.01943132156097258
54;-0.03588084013287141;-0.012140125158116478;-0.03691966209913483;-0.012140125158116478;-0.006170559350415145;-0.043720562394751104;-0.010555650496766282;-0.026664774195782396
55;-0.007795851937255366;-0.006794907832445696;-0.006327761534283156;-0.006794907832445696;-0.0015086194218409425;-0.0010465840164288513;-0.0019299263000146013;-0.0013213810236780742
56;-0.00850639731464826;-0.003077454619589291;-0.020375101292906542;-0.003077454619589291;-0.002306137809681557;-0.0001658952960373498;-0.0021061803113472206;-0.021341906580795194
57;-0.016469496863264734;-0.005834074024957124;-0.030310007663397306;-0.005834074024957124;-0.016438769920497285;-0.0190551207760334;-0.001589282260301298;-0.026321681216074585
58;-0.05050881240517952;-0.025817866317666693;-0.03685108640957341;-0.025817866317666693;-0.003762417820061294;-0.00917118787953185;-0.0034381238747127605;-0.028366353873780465
59;-0.06213651884681127;-0.004360885661344113;-0.0021326696196386076;-0.004360885661344113;-0.0008943622231446378;-0.0007695606217638174;-0.0008140882764792433;-0.002411042406704828
60;-0.04825500651154163;-0.006479646465138648;-0.019834492317856802;-0.006479646465138648;-0.0022975761531808564;-0.0037352710618917162;-0.0017839593384394634;-0.02375456998822964
61;-0.06767486889121542;-0.01932437961676253;-0.036484565490137795;-0.01932437961676253;-0.015395989760854151;-0.06573905792394902;-0.022533770903097692;-0.039182513804937924
62;-0.018034694271217;-0.0014483471533865324;-0.0024899004355924464;-0.0014483471533865324;-0.0005320776541985168;-0.0006704085815789892;-0.0018219054090967961;-0.0018032935779901844
63;-0.02413671285486435;-0.009096961810298704;-0.01719660080892052;-0.009096961810298704;-0.0014636731202446877;-0.0008901539261022204;-0.004229939643730667;-0.03936614415859331
64;-0.010314931208139581;-0.0028247454264057037;-0.00768415182044688;-0.0028247454264057037;-0.001172653715286187;-0.021841300821571447;-0.0011998198227643005;-0.0009229362897263901
65;-0.12530730262312548;-0.005073490762863873;-0.025305187560836762;-0.005073490762863873;-0.03446593231541877;-0.005042601216241338;-0.02149514238351649;-0.03939250335556493
66;-0.061414193605234015;-0.02879827270893388;-0.06224381670760306;-0.02879827270893388;-0.0036676770295008595;-0.052722956926410026;-0.012501720292429285;-0.08194433488631674
67;-0.024184048756582043;-0.004324167239241395;-0.004696332589371009;-0.004324167239241395;-0.0005665375183039241;-0.001154729596143103;-0.0016465502234983334;-0.0010195636396062352
68;-0.007032437473011671;-0.0010520083249989504;-0.0012939266154162932;-0.0010520083249989504;-0.000282266375053165;-0.00017549552081429264;-0.00040575330102004045;-0.000927381889262099
69;-0.05403582480045955;-0.006052806085546199;-0.013412768620939625;-0.006052806085546199;-0.002078945904366859;-0.0020094553226105353;-0.0010076714292016613;-0.003451464271576051
70;-0.13620209165794023;-0.009434587749683586;-0.003932088937452304;-0.009434587749683586;-0.0023659352375325015;-0.005436085125026066;-0.002608721301656778;-0.010167585504394887
71;-0.02163445695854395;-0.01630527441129487;-0.027271710046291572;-0.01630527441129487;-0.0013171677260060575;-0.03321858237926186;-0.010343889614864049;-0.03958148207441036
72;-0.022821945492977128;-0.00402345977986976;-0.011549104771914682;-0.00402345977986976;-0.0007619785818398571;-0.002991455126419753;-0.001554057510839687;-0.023045151265053507
73;-0.018967951586646232;-0.003865622748281191;-0.0058943069932915265;-0.003865622748281191;-0.0012445274237815635;-0.0005529475558954147;-4.678560808547023e-05;-0.001084915573211395
74;-0.032596544425348796;-0.020674460801930927;-0.03996550640281515;-0.020674460801930927;-0.0026402258108118117;-0.009730192939456055;-0.003131800829685421;-0.03107490656396003
75;-0.01962969015888534;-0.0029137661191376714;-0.029641675323853117;-0.0029137661191376714;-0.0032728599902021277;-0.012418695964653467;-0.0025422141207919915;-0.03409781517020743
76;-0.12080890778985763;-0.028530533122295712;-0.017726006068487787;-0.028530533122295712;-0.06361046909329397;-0.01732445569639517;-0.02074105950654646;-0.04132966075394222
77;-0.017700149434903945;-0.011688536169412666;-0.03667501848091298;-0.011688536169412666;-0.006408969450114478;-0.033366293005670705;-0.01004247136257762;-0.05048284684700818
78;-0.0077044059258404365;-0.005056826224574488;-0.012391484426540702;-0.005056826224574488;-0.0008341900242862105;-0.002629909583018099;-0.0006793647175552765;-0.022285663645862496
79;-0.0728172838023242;-0.0028811924407294224;-0.008164084942976917;-0.0028811924407294224;-0.001378190860405461;-0.0015192926572298005;-0.002866764939437791;-0.008051169439016032
80;-0.09403261127235057;-0.021567740828304503;-0.04493928927867391;-0.021567740828304503;-0.026226529880397465;-0.021815630306789072;-0.019253470816226734;-0.04044375466187031
81;-0.007934275848174828;-0.000764155471304383;-0.0019875603805355672;-0.000764155471304383;-0.0007838077095637163;-0.0008669856598670467;-0.00025402921654722353;-0.00034507600887534196
82;-0.002872466086290115;-0.004328934973007354;-0.02795585443254905;-0.004328934973007354;-0.001948112502234441;-0.012332088826188267;-0.0018558026287730544;-0.06061033681712799
83;-0.03870167555397976;-0.02811710829840384;-0.030907751782709648;-0.02811710829840384;-0.01011384836936506;-0.0358316071583882;-0.019236988886694853;-0.019746250302714364
84;-0.05154765257604543;-0.007126994206381806;-0.022280398449276696;-0.007126994206381806;-0.00436364750915677;-0.004605770400540793;-0.0029362004171527615;-0.021955504507216905
85;-0.03562901743456146;-0.011358052946342312;-0.03630830225572961;-0.011358052946342312;-0.006562638764511911;-0.04190721294424029;-0.011824630365643116;-0.034158208199110356
86;-0.023111151879625483;-0.006829803561825856;-0.0029785986929501303;-0.006829803561825856;-0.0008187450216649655;-0.0005164513219623016;-0.00019378170369196488;-0.001748076006751847
87;-0.02291792249407028;-0.004687835419870552;-0.00457331967927698;-0.004687835419870552;-0.000597764157386799;-0.00039781677215594097;-0.0007780084297273983;-0.0009508986536082559
88;-0.02931947825860458;-0.009080041227021033;-0.006571477537806627;-0.009080041227021033;-0.0017702372711845453;-0.027202728240525262;-0.0030923713581969842;-0.011671109043523566
89;-0.1003900848269524;-0.002597279357614253;-0.01869384839812179;-0.002597279357614253;-0.0009615452434381661;-0.0015824430484867441;-0.0016366379494426625;-0.025154655407332093
90;-0.2757094597765889;-0.020743586658686447;-0.018169568877169123;-0.020743586658686447;-0.0280360812995015;-0.020578541937891156;-0.04074213550512196;-0.024862297253521976
91;-0.006937638030044918;-0.013460762793674417;-0.03620037342677811;-0.013460762793674417;-0.006826609016999385;-0.05199340322616058;-0.008932329644611497;-0.03406751376240156
92;-0.08108120312586321;-0.004236537866917516;-0.002896020352521515;-0.004236537866917516;-0.0005022828090478724;-0.0007491142834726376;-0.001056177953131483;-7.844823819014468e-05
93;-0.034661126445968006;-0.004299024547125251;-0.000824592360322833;-0.004299024547125251;-0.0022650120088108607;-0.0009431771633722224;-0.0031307844066598284;-0.00130456476871366
94;-0.016506948874863755;-0.004372026230634689;-0.01242089935325368;-0.004372026230634689;-0.0013327548262451114;-0.0032631002458693597;-0.0007477576593961096;-0.008254192643718026
95;-0.003918492549126679;-0.0045685749093892225;-0.01084984243090339;-0.0045685749093892225;-0.0012477369964264233;-0.017401813616941913;-0.0028809617641998597;-0.0034548483345776377
96;-0.02048794648183334;-0.0017374358799090793;-0.027534277046478314;-0.0017374358799090793;-0.00025863673299782804;-0.0008760401893075356;-0.0008270144032672634;-0.06027869344959449
97;-0.030107758874450954;-0.013959643609043946;-0.02634316283320105;-0.013959643609043946;-0.0008156529775014172;-0.02637863495524841;-0.00879652893257616;-0.03512466385945467
98;-0.04177695606314801;-0.02289913451993557;-0.036087037528082226;-0.02289913451993557;-0.003038157079837642;-0.012080298749082646;-0.002498216061907329;-0.02669065209698558
99;-0.059899451286313514;-0.018028008865596145;-0.027937178361688197;-0.018028008865596145;-0.011760640581136248;-0.007801062569095653;-0.030334946000341114;-0.02694660879097252
