modelName;R2;MSE;MAE
Linear Reg;0.7147608151147942;16.900760560289275;3.392086702759345
Ridge Reg;0.8412409215460129;9.406663999558281;2.450570165297311
Lasso Reg;0.9262053129346496;4.372422874560139;1.6624340315432593
ElasticNet;0.9262053129346496;4.372422874560139;1.6624340315432593
KNN;0.9534718233279788;2.7568497419354836;1.046709677419355
SVR;0.9693332684416227;1.8170402760174327;1.0249036155735378
RF;0.8967522992402576;6.117548925274982;1.5830530645161238
MLP;0.8477890341655331;9.018680547884708;2.0798035369427583
