Band;Importance
430;0.017421270701602126
2338.5;0.015818552108173546
2271.4;0.015411454875332534
2357.3;0.01463005234143842
2300.4;0.014501870077018239
2362;0.014231714984636278
437.7;0.012530337396344066
434.6;0.01244818151728715
2237;0.012344109248075743
2227.1;0.011935152692289588
2298;0.011688740188669089
2364.3;0.011582884970362722
2288.4;0.01048810437223972
2256.7;0.010324385583850912
2281.1;0.009923000447927193
466.6;0.00982519450587142
433.1;0.00971564446735449
2321.9;0.009566209103206982
2244.4;0.009236074183914636
2278.7;0.009193794632010106
1722.4;0.008973412656900175
2246.9;0.00783821918475792
2232.1;0.007604815052920724
2261.6;0.007565087744631535
480.2;0.007447125061485736
2302.8;0.007435520979505274
2317.2;0.007141703579841954
2324.3;0.006983250784727011
2326.7;0.006746049596817007
2239.5;0.006635142746797428
427;0.006546310647508486
2290.8;0.006225663119370827
2314.8;0.006020871588454454
2305.2;0.005896344771324348
2259.2;0.005865823746864925
468.2;0.00564476201514454
2295.6;0.005629309185699772
2273.8;0.005456989308898647
2107.3;0.00542384044875399
2293.2;0.0051720754182527865
2254.3;0.005015967510492686
2355;0.0048426661972122325
2264.1;0.004791205556487465
2094.2;0.0047710306679693395
423.9;0.004708262550863077
2249.4;0.004642335243762408
2329.1;0.004584546642254074
2062.6;0.004400991845818237
770.2;0.004223684432072447
2096.9;0.004214242563953898
1842.3;0.004164687652616025
2310;0.003981125279859481
2009;0.0038632022180920033
2343.2;0.0036702572227439354
443.8;0.00352322951425437
795.7;0.0034300735461452445
2312.4;0.003278270606526434
2352.6;0.0032348372199065127
2375.9;0.0029991371274689536
2336.2;0.002988309518213661
2229.6;0.00298413247569979
446.9;0.00297819266236896
428.5;0.0029714852389298753
902.5;0.0029192050184206264
2242;0.002886128156770101
2347.9;0.0028808676818366454
1718.8;0.0027893171361944623
997.8;0.002719209325658516
445.4;0.0026935468684022956
2382.8;0.0026355854337583883
2266.5;0.002614190837672924
2340.9;0.002604238140518171
460.6;0.002599000874961523
761.2;0.002512167447096211
2214.6;0.0024687637007412165
1901.5;0.0024488971050671006
2224.6;0.00240831558151951
453;0.002247984502172038
2283.5;0.0021119719645580235
2104.7;0.002078643701389854
2276.3;0.0019967913998428155
811.9;0.0019765959401722355
2078.4;0.001804073343004211
762.5;0.001778771651499388
665.9;0.001722834910611861
1679.3;0.0015076247431378108
1514.2;0.0014633825068985974
1000.6;0.0014463799615468266
986.2;0.001421150218311148
785.5;0.0014163467364534167
448.4;0.0014158680606047836
1887.5;0.0012814297630902515
832.7;0.0012808472448221507
2222.1;0.0011352746187617703
920.2;0.0011151496314590948
2117.8;0.0011143637616499512
784.3;0.001036694672192633
697.4;0.0010234477045075097
1923.8;0.0009511087933203899
978.3;0.0009372280548281709
856.6;0.0009237205042963725
837.6;0.0008781090622555887
962.2;0.0008689678290216962
2033.2;0.0008547134712845828
895.8;0.0008354805113955398
670;0.0008064631473247286
892.5;0.0008014144219899942
1001.6;0.0007868766873854993
993.9;0.0007325732462395529
861.4;0.0007220089353763748
1693.7;0.000677919863434775
801.9;0.0006762069475259591
1126.9;0.0006724866549431352
2083.7;0.0006704720461211421
547.2;0.0006703916132142973
1957.1;0.0006338821507051784
492.3;0.0006253794589779549
2217.1;0.0006238263034146795
2392;0.0005949781088595662
478.7;0.0005945202360531987
890.2;0.0005939911971230571
836.4;0.0005921613189272012
456;0.0005919305407138531
925.6;0.0005750034713362361
2112.5;0.0005694524366813803
2286;0.0005663157540329855
602.4;0.0005556952744913068
796.9;0.0005470256545528651
1012.1;0.0005392300196281208
1992.7;0.0005249978633587049
704.2;0.0005239100114323326
1895.9;0.0005037269092843577
1003.5;0.00047989278938949327
774.1;0.000476511016650123
1282.8;0.00047562143248096816
1852.7;0.0004698141879338658
756;0.00046111725302016676
1510.5;0.00044084106910846415
723;0.0004369901072263127
877.6;0.00042911015399741515
1267.3;0.00042803701124248804
1962.6;0.0004272561926677976
864.9;0.00041433945631724756
923.4;0.00039859031032934424
937.3;0.0003855837087729818
2057.2;0.0003833902046222004
2269;0.00038120234471650586
1298.2;0.000377411985217434
1138.7;0.00036996360573592676
767.6;0.00036986151683055413
995.9;0.00036926277581732616
821.8;0.0003644044953552794
855.5;0.0003520467206884459
1814.4;0.00035116474112003026
2003.5;0.0003507154040900573
1193.5;0.0003454898722124966
1628.5;0.00034383523710848407
2120.3;0.000339184444054198
2368.9;0.0003329183784348544
776.6;0.0003321815194301259
1032;0.0003284973859873297
1697.3;0.0003277410629686828
1130.8;0.00032630441763812577
840;0.00032572033918934484
2138.5;0.00032525445045123336
876.5;0.0003221257275059397
588;0.00031327844458565177
646.4;0.00030349806054495883
903.7;0.0002994712326064297
1750.9;0.00029752104957710525
891.3;0.0002972361369423649
899.2;0.00029497836570264947
490.8;0.0002905495751679898
623.8;0.0002877051756264515
1024.1;0.00028622933307942633
577.9;0.0002853177293260734
780.5;0.00028339353889436094
844.8;0.00027517065630702775
499.8;0.00027375833519326933
874.2;0.0002730392062494258
2146.2;0.0002705487731723843
2212.1;0.00026784638631349944
972.3;0.0002646707617154864
866;0.000261496691326375
1870.5;0.0002599069644499075
484.8;0.0002563233235422446
996.8;0.0002563156812407252
472.7;0.0002484350175320282
2102.1;0.00024183676830165872
875.3;0.00024126950630888323
719;0.00024035967934645354
1111.1;0.00023988042052560445
507.3;0.00023780471243281756
1154.3;0.0002376333453458479
1439.2;0.0002360429537886988
502.8;0.0002352029670871203
835.1;0.00023509659918669046
898.1;0.0002294082613540116
1386.2;0.000225124234811791
465.1;0.00021962562567954145
775.4;0.0002170900743049109
643.5;0.00021703523734774356
436.2;0.00021226652132839028
1103.2;0.00020822629762802915
606.7;0.0002081402522856368
1765.1;0.00020593721482810466
1367.2;0.0002044595055561804
1657.6;0.0002014188074019796
1278.9;0.0002012622472716641
1146.5;0.00020081467738369943
626.6;0.0001912845573848232
603.8;0.00019026518189964813
2049.3;0.00018820000063815345
974.3;0.00018457815508057918
967.3;0.00018104225675579788
1355.7;0.00018099811195580683
683.8;0.00017964117115114252
987.1;0.00017801982195784436
1845.8;0.00017416897382320994
1458.1;0.0001736052421117129
495.3;0.00017224712639289929
976.3;0.00017217662031051016
2389.7;0.0001719652589079601
2151.3;0.0001717580079111869
489.3;0.00017078174746275267
525.1;0.00016886189625033078
1946;0.00016587116127593892
994.9;0.00016207391718895848
640.7;0.0001611736528072172
1420.4;0.0001598515515260579
1624.9;0.00015885166669163175
1006.3;0.00015776001549372087
1849.2;0.0001541300125376777
542.8;0.00014972513349231553
1682.9;0.00014884826123951145
1071.6;0.00014759670670103642
853.1;0.00014188726552614382
1028;0.0001393870372274453
873;0.00013887819763437227
1011.9;0.0001349287797265042
916.9;0.0001339248233749557
2011.7;0.00013164166190948067
2171.8;0.00013048715966071823
529.5;0.00013025168111431839
2030.5;0.00012824172674297696
992;0.00012744329465094406
1897.5;0.0001272072287158965
1007.2;0.00012544486788434894
944.7;0.0001242341036658745
953;0.00012356211754871893
1610.3;0.00012112140433782393
863.7;0.0001167271722820562
1043.9;0.000116202561421912
918;0.00011521108715192964
825.4;0.00011386123239562451
830.3;0.00011334693639986183
475.7;0.00011269054334688499
1251.8;0.00011089684883666128
636.5;0.0001104698410804339
