First;Last;Importance
2232,1;2392,001;0,0016717276630691938
422,4;498,3;0,0008952167164182472
1970,8;2104,7;0,0005783414785346038
2104,7;2232,1;0,00039613274078682153
1863,1;1970,8;0,00032061740818856485
1313,6;1503,0;0,00011065486499557442
498,3;572,1;0,00010603281193067785
1503,0;1686,5;7,958617888858287e-05
1686,5;1863,1;5,020914266636728e-05
777,9;840,0;2,5177727572783386e-05
1119,0;1313,6;-1,5062836882857643e-05
840,0;898,1;-1,7734580591125544e-05
951,0;994,9;-5,645038525669672e-05
898,1;951,0;-5,648064561242593e-05
994,9;1119,0;-9,923654000977207e-05
712,3;777,9;-0,00014253472501011768
572,1;643,5;-0,0002545602847610147
643,5;712,3;-0,0005779550422526785
