First;Last;Importance
2232,1;2392,001;0,19487953938691166
643,5;712,3;0,0567525749893902
572,1;643,5;0,0506427856397625
1686,5;1863,1;0,0489245660439568
422,4;498,3;0,047127998636153696
2104,7;2232,1;0,041374265190420464
1863,1;1970,8;0,03866386480110276
840,0;898,1;0,03536813508085603
1970,8;2104,7;0,033442878166486514
951,0;994,9;0,03130717016447913
777,9;840,0;0,03096123367215842
712,3;777,9;0,03093085257465419
898,1;951,0;0,030554191083617486
994,9;1119,0;0,028832869275342825
498,3;572,1;0,028483370651967946
1313,6;1503,0;0,022623433315118895
1503,0;1686,5;0,02235299410159991
1119,0;1313,6;0,021366978391005733
