422.4;486.3;670;843.6;940.5;970.3;996.8;1005.4;1412.8;1439.2;1461.8;1890.6;1900.9;1926.6;1932.2;2019.8;2109.9;2151.3;2222.1;2281.1;2324.3;Y;Linear;Ridge;Lasso;ElasticNet;kNN;SVR;RF;MLP
-0.7371222794635439;-0.6117730204773341;-0.5214615921420422;-0.6125911144698234;-0.6128408162423008;-0.624098404762154;-0.6055832425972931;-0.6039103944640425;-0.6176773476731261;-0.6113755854897902;-0.6040033522778196;-0.5914282435948088;-0.6633389633944831;-0.6119543784597916;-0.6064655129103768;-0.46888187979159346;-0.31514974340234175;-0.22206078707348206;-0.3533060429186898;-0.07321623475803991;0.049810951393112035;8.31;31.496110094093794;30.16420908056895;22.078905308353374;22.078905308353374;22.279999999999998;24.747459258095724;20.455950000000012;21.702213598666876
-1.1572103328284846;-1.223763442697637;-1.2311861426127857;-1.187722775722856;-1.1415660933681735;-1.13876144921699;-1.126019253873468;-1.1235210692866495;-1.0474812304615124;-1.0436176949699432;-1.0383362878094915;-0.9436815591909404;-0.9811835543188635;-0.8890955782524963;-0.885124549553745;-0.8020759510742334;-0.7158877163226074;-0.6556918648188399;-0.7118591336499197;-0.5522919345804027;-0.49417429297048576;11.860000000000001;-2.894946456122484;11.48006710937291;22.430906600114508;22.430906600114508;27.12333333333333;26.919236286499736;24.382900000000042;22.005842388556758
-0.5873581547372786;-0.5726671562131674;-0.6194523971395767;-0.7094045249306407;-0.7169444043038493;-0.7228802924744337;-0.7206177841700434;-0.7173591740801413;-0.7563682422986919;-0.7580845550651415;-0.755840504369777;-0.7348091134039825;-0.7781899658018422;-0.7164801467502264;-0.7167044725792082;-0.626701323780559;-0.5123608808512897;-0.4438643714618768;-0.5703692431417093;-0.44423674096691707;-0.37567395560319866;13.64;19.171267091721877;20.381043722111947;20.606242546983175;20.606242546983175;24.139999999999997;25.741237834435122;23.897549999999995;22.449717754505972
-0.7467594679629411;-0.7557426477179391;-0.7736954442855335;-0.8284586112404998;-0.8155470491059847;-0.8173531687935847;-0.8307249518816813;-0.8348843878826833;-0.8591690229149173;-0.849649644920743;-0.8393621489793612;-0.9920535230041757;-1.0359767125108599;-1.1000305508469006;-1.1130864715990036;-1.098234019893708;-1.0316852236246796;-0.9892194467062203;-1.0307820121842033;-0.840357517192036;-0.7535011182235354;21.729999999999997;0.5373939518381438;6.2344857037195895;17.280057511745444;17.280057511745444;29.393333333333327;18.46444664137366;24.961400000000037;20.318647562149774
-1.0568743826143168;-1.0736130258446164;-1.0893069477547919;-1.1348248193113004;-1.1276815010066747;-1.124928643254966;-1.14646964067747;-1.1564198685358291;-1.1557783477207584;-1.1609252126283633;-1.1588948642691341;-1.2740055191151014;-1.2442638610148116;-1.3229268212654837;-1.337766638446279;-1.3901391506312888;-1.3948315568189948;-1.403734251115249;-1.3863377545878788;-1.445881131244467;-1.43530740713387;12.18;26.078570392983075;18.276071428384583;17.704708894280397;17.704708894280397;24.046666666666667;22.975430186833965;23.69150000000005;20.833698535630816
-0.8144334197160976;-0.7869401203884728;-0.901708724314886;-0.9531806565409677;-0.9472699564491686;-0.953535516618063;-0.972601184034804;-0.9799569586984578;-1.0634495348138682;-1.0843939392416146;-1.0991506445374217;-1.1647979867376608;-1.0793165318220421;-1.1212118103080186;-1.128534733872436;-1.2569985612342058;-1.32785490294107;-1.3436721536004628;-1.25304981305967;-1.2164046054327742;-1.0709207364644548;17.25;22.243398236409448;15.440290789929378;16.104001787136713;16.104001787136713;21.680000000000003;17.77151895413447;27.411150000000028;22.887351705387914
-1.1331094492741627;-1.1884146934217497;-1.3640717380084655;-1.2915694855333502;-1.2692955274797644;-1.26792626420123;-1.2675295035477767;-1.2698237535022974;-1.2137502352608334;-1.2111274211939984;-1.2116577140731393;-1.1922728229375958;-1.1815496121514617;-1.1848048932990576;-1.181643138112966;-1.1691399486924032;-1.141548114373055;-1.1505498309274336;-1.1743788253661749;-1.1712632875752147;-1.1914371476243795;23.76;21.896951220430857;21.967137450512055;19.641196822581843;19.641196822581843;18.663333333333334;11.835196069710122;16.68690000000002;21.695501544379752
-0.8925120536340384;-0.9278067731967943;-1.111171345612548;-1.1216744358528996;-1.122524366700975;-1.1163985594767312;-1.1282865599617338;-1.1341431433892093;-1.0598720946479718;-1.054376021305459;-1.052197109855743;-1.0879738644136216;-1.0871125019846135;-1.1200284997235985;-1.121180800730614;-1.1390740391967884;-1.113965784486946;-1.126842911306037;-1.1501492146179157;-1.2118186653322771;-1.21951284192186;31.13;52.96797137923956;30.816176469478638;18.193578882824834;18.193578882824834;17.73;17.149171260920046;18.70910000000002;17.18405509133354
-0.3166860846421389;-0.23082001078405592;-0.2714526701369313;-0.39030112851010595;-0.4595461009571566;-0.4665117023848677;-0.470401811885899;-0.47399425736350176;-0.48587133789513376;-0.46486547592064087;-0.4415361726900975;-0.5246518731184675;-0.6013850622383475;-0.6450081874512574;-0.6372119571890406;-0.5264146810661098;-0.4585576889162274;-0.4027404028007145;-0.5366961039806963;-0.3714655420056525;-0.23932763170107796;24.31;44.83961710914129;26.442525695743115;19.31761782727299;19.31761782727299;20.583333333333332;19.432880249698123;14.299699999999993;12.629510879082588
-1.5425396266877995;-1.5004648978835478;-0.6557647590604874;-0.4551817430729634;-0.45564078386754137;-0.4275195462274525;-0.38432451814910734;-0.38258875071594517;-0.20269428842916767;-0.10239339961637686;-0.03879775799914649;-0.047004810692975345;-0.34744817733800676;-0.3278513680620833;-0.295339111579646;0.14486434029334624;0.4577731964089213;0.6168078785585437;0.31804981762780177;0.8531926257569103;0.8516296330152122;17.53;29.148375032184;16.800895441282197;22.17837434618217;22.17837434618217;20.503333333333334;8.69731678553454;13.1774;0.8945857615274995
